F S   UID     PID    PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
1 I     0 3835877       2  0  80   0 -     0 -      ?        00:00:00 kworker/6:2-events_freezable
1 I     0 3842955       2  0  80   0 -     0 -      ?        00:00:00 kworker/7:1-events
1 I     0 3843081       2  0  80   0 -     0 -      ?        00:00:00 kworker/5:1-events
1 I     0 3852264       2  0  80   0 -     0 -      ?        00:00:00 kworker/4:1-cgroup_destroy
1 I     0 3857065       2  0  80   0 -     0 -      ?        00:00:00 kworker/u16:2-flush-259:0
1 I     0 3859156       2  0  80   0 -     0 -      ?        00:00:00 kworker/7:2
1 I     0 3861193       2  0  80   0 -     0 -      ?        00:00:00 kworker/6:1-events
1 I     0 3861197       2  0  80   0 -     0 -      ?        00:00:00 kworker/u16:3-events_unbound
4 S     0 3863028    1047  0  80   0 -  4368 -      ?        00:00:00 sshd
5 S  1000 3863108 3863028  0  80   0 -  4401 -      ?        00:00:00 sshd
0 S  1000 3863111 3863108  0  80   0 -  3177 do_sel pts/13   00:00:00 bash
1 I     0 3863136       2  0  80   0 -     0 -      ?        00:00:00 kworker/u16:4-flush-259:0
1 I     0 3863195       2  0  80   0 -     0 -      ?        00:00:00 kworker/2:1-events
4 S     0 3863560    1047  0  80   0 -  4369 -      ?        00:00:00 sshd
5 S  1000 3863600 3863560  0  80   0 -  4402 -      ?        00:00:00 sshd
0 S  1000 3863601 3863600  0  80   0 -  3210 do_wai pts/14   00:00:00 bash
1 I     0 3864309       2  0  80   0 -     0 -      ?        00:00:00 kworker/u16:0-events_unbound
0 R  1000 3864338 3863601  0  80   0 -  3495 -      pts/14   00:00:00 ps
